i*1000,comparisons
991,26662650
992,28149105
993,28106194
994,26138804
995,26328779
996,27738826
997,26051236
998,26388251
999,27126015
1000,25835069
